acting	action	actor	actors	audience	back	bad	big	bit	cast	character	characters	comedy	completely	day	dialogue	director	doesn	effects	end	fact	film	find	fun	funny	girl	give	good	great	guy	hard	hollywood	home	interesting	john	kind	life	long	lot	love	make	man	minutes	money	movie	movies	original	part	people	performance	picture	place	plot	point	pretty	problem	real	reason	rest	role	scene	screen	script	sense	series	set	sex	show	special	star	story	supposed	takes	thing	time	watch	wife	woman	work	world	worst	year	years	young	american	black	city	death	ending	family	father	feel	high	job	men	mother	music	performances	TRUE	war	class
0.95568	0	0	0	2.86704	0	0	0	0	0.95568	0	2.86704	0	0	0	0.95568	0	0.95568	0	0	0.95568	7.64544	0	0	0	0	0	0	0	0	0.95568	0	0	0	0	0	0	0	0	0	1.91136	0.95568	0.95568	0	1.91136	0.95568	0	0	0	0	0	0	1.91136	0	0	0	0	0	0	0	0	0.95568	0	0	0	0	0	5.73408	0	0	0	0	0	0.95568	0.95568	1.91136	0	0	0	0	0	0	0	0.95568	0.95568	0	0	0	0	0	0	0	0	0	0	0	1.91136	0	0	0	0
0	0	0	0.757619	1.515238	0.757619	1.515238	0.757619	0.757619	0	1.515238	0.757619	0	0.757619	0	0	0.757619	1.515238	0	0	0	4.545714	0.757619	0	0	0	0.757619	1.515238	0	0	0	0	0	0	0	0.757619	0.757619	0	0	0	3.788095	0	1.515238	0	4.545714	0.757619	0	1.515238	0.757619	0	0	0	0.757619	0.757619	3.788095	1.515238	0	0	0	0	0	0	0	1.515238	0	0	0	0	0	0	0	0	0	0	0	0.757619	0	0	0	1.515238	0	0	0.757619	0	0.757619	0	0	0	0.757619	0	0	0	0	0	0	0	0.757619	0	0	0	0
3.408443	1.704222	0	0	0	1.704222	0	1.704222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.704222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.521108	0	0	0	1.704222	0	0	0	0	0	1.704222	0	1.704222	0	0	0	0	0	0	0	0	0	0	0	0	1.704222	1.704222	0	0	1.704222	1.704222	0	0	0	1.704222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1.472223	0	0	0	1.472223	0	1.472223	0	1.472223	1.472223	0	0	0	0	0	0	1.472223	1.472223	1.472223	2.944447	0	0	0	0	1.472223	0	0	0	0	0	1.472223	0	0	0	1.472223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.472223	0	0	1.472223	1.472223	0	0	0	0	0	0	0	0	0	0	0	1.472223	0	0	1.472223	1.472223	0	0	0	0	0	0	1.472223	0	0	0	0	0	0	0	0	1.472223	0	1.472223	0	0	0	0	0	0	0	0
0	0	2.989403	0	2.989403	0	2.989403	1.494701	2.989403	1.494701	1.494701	0	0	0	0	0	0	0	1.494701	1.494701	1.494701	2.989403	0	0	0	0	0	1.494701	0	0	0	0	1.494701	0	0	0	0	0	0	1.494701	0	2.989403	0	0	2.989403	1.494701	0	1.494701	1.494701	0	0	1.494701	1.494701	0	0	0	0	1.494701	0	0	0	1.494701	0	0	0	0	0	0	1.494701	1.494701	4.484104	0	1.494701	0	1.494701	0	0	1.494701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.494701	1.494701	0	0	0	0	0
0	0.980669	0	0	0.980669	0	0.980669	0	0.980669	0	0	0	0	0	0	0	0.980669	0	0.980669	0	0.980669	7.845355	0	0	0	0	1.961339	1.961339	0.980669	0	0	0	0	0	2.942008	0	0	0	1.961339	0	1.961339	0	0	0	1.961339	0	0	0	0.980669	0	0	1.961339	0.980669	0	0	0	0	0	0	0	0.980669	0	0	0	0	0	0	0	0	0	1.961339	0	1.961339	0.980669	2.942008	0	0.980669	0	0.980669	0	0	0.980669	0.980669	0	0	0.980669	0	0	0	0	0	0	0	0	0	0	0.980669	0	0	0	0
0	0	0	0	0	0	0	1.472223	0	0	1.472223	0	0	0	0	0	1.472223	1.472223	0	0	0	5.888893	0	0	0	1.472223	0	1.472223	0	0	0	1.472223	1.472223	1.472223	0	1.472223	2.944447	0	1.472223	0	0	1.472223	0	0	0	1.472223	0	0	4.41667	0	0	1.472223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.472223	0	0	0	1.472223	0	1.472223	2.944447	0	1.472223	0	0	1.472223	0	0	0	1.472223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.299457	0	0	0	1.299457	0	1.299457	1.299457	0	0	1.299457	0	1.299457	0	0	0	0	0	0	0	1.299457	0	0	0	1.299457	0	0	0	0	0	0	0	0	1.299457	0	0	0	1.299457	0	0	0	1.299457	1.299457	1.299457	9.096198	0	0	0	1.299457	0	0	0	1.299457	1.299457	0	0	0	0	0	0	2.598914	0	0	0	0	0	0	0	0	0	0	0	0	1.299457	1.299457	0	1.299457	0	0	0	0	2.598914	0	0	0	0	0	0	0	0	0	0	1.299457	0	0	0	0	0	0	0	0
1.410424	0	1.410424	0	0	0	1.410424	0	0	0	1.410424	1.410424	0	0	0	1.410424	0	1.410424	0	0	0	2.820848	1.410424	0	0	0	0	0	0	0	0	1.410424	0	0	0	0	2.820848	1.410424	0	0	1.410424	0	0	1.410424	0	4.231272	0	0	0	1.410424	0	0	0	0	0	0	1.410424	0	0	1.410424	0	1.410424	0	0	1.410424	0	0	0	0	0	0	0	0	0	4.231272	0	0	0	0	1.410424	0	0	2.820848	0	1.410424	0	0	0	0	0	1.410424	0	0	0	0	2.820848	0	1.410424	1.410424	0	0
1.456015	0	0.728007	0	0	0.728007	3.640037	0	0	0	0	0	0.728007	0	1.456015	0.728007	0.728007	0.728007	0	0	0	5.824059	0	0.728007	0	0	0.728007	0	0	2.91203	0	0	0	0	0	0	0	0	0	0.728007	0	2.91203	0	0	5.096052	0.728007	0.728007	0	0	0	0	0	1.456015	0	1.456015	0	0.728007	1.456015	1.456015	0	1.456015	0	0	0	0	0	0	0	0	0	0.728007	0	0.728007	1.456015	0.728007	0	0	0	0	0	0	0	1.456015	0.728007	1.456015	0	0	0	0	0	0	0	0.728007	0	0	0	0.728007	0	0	0	0
