"","cost","gamma","error","dispersion"
"1",0.001,1e-04,0.400201911428187,0.0245875063213129
"2",0.01,1e-04,0.400201911428187,0.0245875063213129
"3",0.1,1e-04,0.400201911428187,0.0245875063213129
"4",1,1e-04,0.208632194296483,0.0157039023487919
"5",10,1e-04,0.100895140664962,0.0190661293594038
"6",100,1e-04,0.0776118685460454,0.0154687965289397
"7",0.001,0.001,0.400201911428187,0.0245875063213129
"8",0.01,0.001,0.400201911428187,0.0245875063213129
"9",0.1,0.001,0.206768840259216,0.0169684740647546
"10",1,0.001,0.100274984135531,0.0196151342587398
"11",10,0.001,0.0738851604715113,0.0165849206263948
"12",100,0.001,0.0648808722573698,0.0171944416759041
"13",0.001,0.01,0.400201911428187,0.0245875063213129
"14",0.01,0.01,0.355496798261639,0.0299508719325905
"15",0.1,0.01,0.0974837990115955,0.0144216853833665
"16",1,0.01,0.0707834163413649,0.0153287720558553
"17",10,0.01,0.0670557467838394,0.0144073746715955
"18",100,0.01,0.0698546237717055,0.0127026811376671
"19",0.001,0.1,0.400201911428187,0.0245875063213129
"20",0.01,0.1,0.400201911428187,0.0245875063213129
"21",0.1,0.1,0.201809510989751,0.0231279666518403
"22",1,0.1,0.0934494163798242,0.0115704401818066
"23",10,0.1,0.0894169567140357,0.011062258607736
"24",100,0.1,0.091590869757514,0.0142392042276325
"25",0.001,1,0.400201911428187,0.0245875063213129
"26",0.01,1,0.400201911428187,0.0245875063213129
"27",0.1,1,0.394303213276157,0.0262111963109387
"28",1,1,0.216397130934754,0.017750773545138
"29",10,1,0.213602099878853,0.0188952707379055
"30",100,1,0.214844335903698,0.0195684171931143
"31",0.001,10,0.400201911428187,0.0245875063213129
"32",0.01,10,0.400201911428187,0.0245875063213129
"33",0.1,10,0.397717439378497,0.0240908636313587
"34",1,10,0.265762552160452,0.0149900741631572
"35",10,10,0.262657923581332,0.0161583591972483
"36",100,10,0.262657923581332,0.0161583591972483
